time,speed,steering,x_angle,y_angle,z_angle,imu_yaw_rate
1746616032.5071738,0.14319999516010284,0.0,-0.0111,0.0111,0.707,0.0
1746616032.5072446,0.14319999516010284,0.0,-0.0111,0.0111,0.707,0.0
1746616032.5074222,0.14319999516010284,0.0,-0.0104,0.0104,0.707,0.0
1746616032.5671442,0.4611000120639801,0.0,-0.0104,0.0104,0.707,0.0
1746616032.567202,0.4611000120639801,0.0,-0.0104,0.0104,0.707,0.0
1746616032.567383,0.4611000120639801,0.0,-0.0083,0.0083,0.707,0.0
1746616032.6150703,0.4611000120639801,0.0,-0.0083,0.0083,0.707,0.0
1746616032.615215,0.7171000242233276,0.0,-0.0083,0.0083,0.707,0.0
1746616032.615304,0.7171000242233276,0.0,-0.007,0.007,0.7071,0.0
1746616032.6671183,0.7171000242233276,0.0,-0.007,0.007,0.7071,0.0
1746616032.667252,0.9696000218391418,0.0,-0.007,0.007,0.7071,0.0
1746616032.6673412,0.9696000218391418,0.0,-0.006,0.006,0.7071,0.0
1746616032.7231712,1.2389999628067017,0.0,-0.006,0.006,0.7071,0.0
1746616032.723229,1.2389999628067017,0.0,-0.006,0.006,0.7071,0.0
1746616032.7234015,1.2389999628067017,0.0,-0.0052,0.0052,0.7071,0.0
1746616032.7751791,1.5145000219345093,0.0,-0.0052,0.0052,0.7071,0.0
1746616032.7752323,1.5145000219345093,0.0,-0.0052,0.0052,0.7071,0.0
1746616032.775438,1.5145000219345093,0.0,-0.0045,0.0045,0.7071,0.0
1746616032.8271024,1.5145000219345093,0.0,-0.0045,0.0045,0.7071,0.0
1746616032.8272662,1.7661999464035034,0.0,-0.0045,0.0045,0.7071,0.0
1746616032.827359,1.7661999464035034,0.0,-0.004,0.004,0.7071,0.0
1746616032.8831575,2.0241000652313232,0.0,-0.004,0.004,0.7071,0.0
1746616032.8832104,2.0241000652313232,0.0,-0.004,0.004,0.7071,0.0
1746616032.8833764,2.0241000652313232,0.0,-0.0036,0.0036,0.7071,0.0
1746616032.9352553,2.283099889755249,0.0,-0.0036,0.0036,0.7071,0.0
1746616032.935352,2.283099889755249,0.0,-0.0036,0.0036,0.7071,0.0
1746616032.9356437,2.283099889755249,0.0,-0.0033,0.0033,0.7071,0.0
1746616032.991226,2.538300037384033,0.0,-0.0033,0.0033,0.7071,0.0
1746616032.9913158,2.538300037384033,0.0,-0.0033,0.0033,0.7071,0.0
1746616032.9915936,2.538300037384033,0.0,-0.0031,0.0031,0.7071,0.0
1746616033.0391576,2.7943999767303467,0.0,-0.0031,0.0031,0.7071,0.0
1746616033.0392451,2.7943999767303467,0.0,-0.0031,0.0031,0.7071,0.0
1746616033.0395212,2.7943999767303467,0.0,-0.0029,0.0029,0.7071,0.0
1746616033.095177,3.0192999839782715,0.0,-0.0029,0.0029,0.7071,0.0
1746616033.095262,3.0192999839782715,0.0,-0.0029,0.0029,0.7071,0.0
1746616033.0955358,3.0192999839782715,0.0,-0.0028,0.0028,0.7071,0.0
1746616033.1471226,3.1579999923706055,0.0,-0.0028,0.0028,0.7071,0.0
1746616033.1472054,3.1579999923706055,0.0,-0.0028,0.0028,0.7071,0.0
1746616033.1474628,3.1579999923706055,0.0,-0.003,0.003,0.7071,0.0
1746616033.1991065,2.911400079727173,0.0,-0.003,0.003,0.7071,0.0
1746616033.1991696,2.911400079727173,0.0,-0.003,0.003,0.7071,0.0
1746616033.1993315,2.911400079727173,0.0,-0.0065,0.0065,0.7071,0.0
1746616033.2550883,3.1591999530792236,0.0,-0.0065,0.0065,0.7071,0.0
1746616033.255148,3.1591999530792236,0.0,-0.0065,0.0065,0.7071,0.0
1746616033.255327,3.1591999530792236,0.0,-0.0058,0.0058,0.7071,0.0
1746616033.3073308,3.410599946975708,0.0,-0.0058,0.0058,0.7071,0.0
1746616033.3074203,3.410599946975708,0.0,-0.0058,0.0058,0.7071,0.0
1746616033.307701,3.410599946975708,0.0,-0.0049,0.0049,0.7071,0.0
1746616033.3591914,3.410599946975708,0.0,-0.0049,0.0049,0.7071,0.0
1746616033.3593895,3.6405999660491943,0.0,-0.0049,0.0049,0.7071,0.0
1746616033.359536,3.6405999660491943,0.0,-0.0043,0.0043,0.7071,0.0
1746616033.4111757,3.5831000804901123,0.0,-0.0043,0.0043,0.7071,0.0
1746616033.4112585,3.5831000804901123,0.0,-0.0043,0.0043,0.7071,0.0
1746616033.4115171,3.5831000804901123,0.0,-0.0052,0.0052,0.7071,0.0
1746616033.467168,3.2290000915527344,0.0,-0.0052,0.0052,0.7071,0.0
1746616033.4672544,3.2290000915527344,0.0,-0.0052,0.0052,0.7071,0.0
1746616033.467527,3.2290000915527344,0.0,-0.0087,0.0087,0.707,0.0
1746616033.5191987,2.8928000926971436,0.0,-0.0087,0.0087,0.707,0.0
1746616033.5192854,2.8928000926971436,0.0,-0.0087,0.0087,0.707,0.0
1746616033.5195615,2.8928000926971436,0.0,-0.0113,0.0113,0.707,0.0
1746616033.5712428,2.561300039291382,0.0,-0.0113,0.0113,0.707,0.0
1746616033.571326,2.561300039291382,0.01979999989271164,-0.0113,0.0113,0.707,0.0
1746616033.5715926,2.561300039291382,0.01979999989271164,-0.0131,0.0135,0.7073,0.1363
1746616033.6191022,2.259200096130371,0.01979999989271164,-0.0131,0.0135,0.7073,0.1363
1746616033.6191854,2.259200096130371,0.09809999912977219,-0.0131,0.0135,0.7073,0.1363
1746616033.6193764,2.259200096130371,0.09809999912977219,-0.0132,0.0164,0.7144,0.6614
1746616033.6671934,1.9615000486373901,0.09809999912977219,-0.0132,0.0164,0.7144,0.6614
1746616033.6672857,1.9615000486373901,0.17299999296665192,-0.0132,0.0164,0.7144,0.6614
1746616033.6675594,1.9615000486373901,0.17299999296665192,-0.0131,0.019,0.7287,1.0317
1746616033.7191277,1.6518000364303589,0.17299999296665192,-0.0131,0.019,0.7287,1.0317
1746616033.7192123,1.6518000364303589,0.251800000667572,-0.0131,0.019,0.7287,1.0317
